"","n","mu_pop","method","powerSS11","powerSS12","powerSSR11","powerSSR12","powerNS11","powerNS12","costSS11","costSS12","costSSR11","costSSR12","costNS11","costNS12","costSS11_Q025","costSS12_Q025","costSSR11_Q025","costSSR12_Q025","costNS11_Q025","costNS12_Q025","costSS11_Q975","costSS12_Q975","costSSR11_Q975","costSSR12_Q975","costNS11_Q975","costNS12_Q975","missSS11","missSS12","missSSR11","missSSR12","missNS11","missNS12"
"931",870,49.7,"KK",0.025,0.317,0.846,0.854,0.861,0.874,4138.92,6316.32,5105.04,5714.76,5265.6,6332.4,4084.6,6125.16,4996.4,5602.2,5265.6,6332.4,4326.3485,6368.32,5344.897,5827.32,5265.6,6332.4,0,0,0,0,0,0
"932",870,49.7,"MF",0.241,0.652,0.819,0.829,0.84,0.858,5460.56,8413.48,6681.52,7702.84,6454.2,7982.4,5402.32,8359.8,6565.04,7441.28,6454.2,7982.4,5514.64,8604.661,6789.68,7820.36,6454.2,7982.4,0,0,0,0,0,0
"933",870,49.7,"FP",0,0,0.638,0.66,0.723,0.764,4561.78,7656.9,4862.36,5135.68,7712.4,9832.2,4381.58,7574.3175,4636.96,4889.48,7712.4,9832.2,4604.72,7871.1825,4948.24,5376.32,7712.4,9832.2,0,0,0,0,0,0
"934",870,124.7,"KK",0.491,0.777,0.89,0.891,0.904,0.907,4821.34,6823.44,6064.88,6829.62,5400.6,6467.4,4635.9,6640.6,5829,6590.1,5400.6,6467.4,4869.84,6975.184,6161.88,6930.12,5400.6,6467.4,0,0,0,0,0,0
"935",870,124.7,"MF",0.594,0.794,0.834,0.852,0.827,0.842,5961.44,9011.24,7413.28,8609.56,6589.2,7982.4,5776.52,8964.88,7178.44,8366.08,6589.2,7982.4,6007.2,9185.28,7504.8,8709,6589.2,7982.4,0,0,0,0,0,0
"936",870,124.7,"FP",0,0,0.703,0.716,0.773,0.793,4945.38,8675.4,5494.56,6152.28,7712.4,9967.2,4886.62,8444.6175,5377.04,5872.72,7712.4,9967.2,5143.66,8899.5,5756.12,6442.96,7712.4,9967.2,0,0,0,0,0,0
"937",880,2.8,"KK",0,0,0.583,0.607,0.694,0.7,2954.04,4437.4,3120.88,3267.92,5304.4,6372.6,2921.06,4256.64,3054.92,3199.58,5304.4,6372.6,2988.96,4487.32,3190.72,3340.28,5304.4,6372.6,0,0,0,0,0,0
"938",880,2.8,"MF",0,0,0.629,0.656,0.736,0.773,3781.12,6019.16,4111.84,4439.08,6360.8,7757.6,3737.44,5820.72,4024.48,4209.16,6360.8,7757.6,3826.88,6085.04,4203.36,4538.52,6360.8,7757.6,0,0,0,0,0,0
"939",880,2.8,"FP",0,0,0.035,0.017,0.552,0.58,4171.4,6348.3,4068.04,4080.52,7892.6,10157.8,4160.1,6321.9,4036.4,4041.6,7892.6,10157.8,4189.48,6378,4221.12,4237.76,7892.6,10157.8,0,0,0.753,0.753,0,0
"940",880,12.9499,"KK",0,0,0.721,0.748,0.808,0.832,3438.24,5333.28,3954.28,4261.52,5304.4,6372.6,3387.7515,5272.908,3853.303,4156.8995,5304.4,6372.6,3623.68,5522.36,4190.16,4501.04,5304.4,6372.6,0,0,0,0,0,0
"941",880,12.9499,"MF",0.001,0.064,0.769,0.786,0.799,0.841,4641.64,7461.12,5427.88,5968.96,6360.8,7757.6,4446.32,7250.419,5172.24,5837.88,6360.8,7757.6,4704.04,7664.44,5552.68,6239.56,6360.8,7757.6,0,0,0,0,0,0
"942",880,12.9499,"FP",0,0,0.496,0.528,0.63,0.658,4250.5,6822.9,4352.2,4534,7892.6,10157.8,4221.12,6631.8,4288.92,4321.16,7892.6,10157.8,4279.88,6879,4410.96,4606.28,7892.6,10157.8,0,0,0.009,0.009,0,0
"943",880,49.7,"KK",0.036,0.378,0.871,0.879,0.904,0.922,4168.02,6349.6,5143.84,5754.26,5304.4,6372.6,4113.6515,6158.44,5035.103,5641.5995,5304.4,6372.6,4357.3885,6403.68,5387.577,6001.9205,5304.4,6372.6,0,0,0,0,0,0
"944",880,49.7,"MF",0.229,0.648,0.807,0.835,0.829,0.856,5495.92,8457.4,6731.44,7755.28,6495.8,8027.6,5437.68,8401.28,6614.96,7493.72,6495.8,8027.6,5554.16,8653.461,6847.92,8016.84,6495.8,8027.6,0,0,0,0,0,0
"945",880,49.7,"FP",0,0,0.595,0.645,0.704,0.749,4723.9,7696.5,5029,5304.4,7892.6,10157.8,4541.44,7610.7,4799.08,5187.64,7892.6,10157.8,4773.62,7914.0825,5128.44,5561.72,7892.6,10157.8,0,0,0,0,0,0
"946",880,124.7,"KK",0.525,0.781,0.896,0.9,0.911,0.921,4854.32,6993.8,6111.44,6877.16,5439.4,6507.6,4668.88,6812.988,5875.56,6637.64,5439.4,6507.6,4902.82,7037.48,6208.44,6977.66,5439.4,6507.6,0,0,0,0,0,0
"947",880,124.7,"MF",0.61,0.839,0.83,0.841,0.843,0.86,6000.96,9195.04,7471.52,8671.04,6630.8,8162.6,5953.016,9013.68,7375.632,8566.854,6630.8,8027.6,6044.692,9359.32,7558.984,8900.96,6630.8,8162.6,0,0,0,0,0,0
"948",880,124.7,"FP",0,0,0.692,0.721,0.783,0.802,5109.76,8718.3,5665.72,6326.56,7892.6,10157.8,5048.74,8625.9,5543.68,6041.44,7892.6,10157.8,5305.78,8942.4,5922.76,6611.68,7892.6,10157.8,0,0,0,0,0,0
"949",890,2.8,"KK",0,0,0.567,0.596,0.697,0.74,2975.38,4464.44,3144.16,3291.34,5343.2,6412.8,2942.4,4283.68,3078.2,3223,5343.2,6412.8,3008.36,4510.2,3210.12,3359.68,5343.2,6412.8,0,0,0,0,0,0
"950",890,2.8,"MF",0,0,0.64,0.668,0.718,0.756,3808.16,6188.32,4145.12,4473.44,6402.4,7802.8,3758.24,5982.499,4045.28,4229.96,6402.4,7802.8,3853.92,6249.32,4236.64,4572.88,6402.4,7802.8,0,0,0,0,0,0
"951",890,2.8,"FP",0,0,0.039,0.015,0.532,0.573,4196.26,6516.3,4090.64,4103.12,7937.8,10213.4,4182.7,6489.9,4059,4064.2,7937.8,10213.4,4212.08,6546,4243.72,4260.36,7937.8,10213.4,0,0,0.76,0.76,0,0
"952",890,12.9499,"KK",0,0,0.741,0.744,0.836,0.846,3598.46,5362.4,4120.32,4427.98,5343.2,6412.8,3412.9715,5304.108,3884.343,4188.3595,5343.2,6412.8,3648.9485,5559.8,4221.297,4532.6005,5343.2,6412.8,0,0,0,0,0,0
"953",890,12.9499,"MF",0,0.056,0.75,0.777,0.796,0.824,4672.84,7498.94,5469.48,6012.36,6402.4,7802.8,4479.6,7426.899,5218,5885.8,6402.4,7802.8,4731.08,7703.48,5585.96,6273.92,6402.4,7937.8,0,0,0,0,0,0
"954",890,12.9499,"FP",0,0,0.505,0.567,0.601,0.644,4275.36,6997.5,4374.8,4556.6,7937.8,10213.4,4245.98,6803.1,4311.407,4343.721,7937.8,10213.4,4302.48,7053.6,4433.56,4628.88,7937.8,10213.4,0,0,0.017,0.017,0,0
"955",890,49.7,"KK",0.022,0.355,0.861,0.868,0.902,0.91,4334.06,6387.04,5321.52,5932.78,5478.2,6547.8,4275.8115,6332.96,5205.023,5812.0795,5478.2,6547.8,4525.3685,6445.28,5569.137,6184.4605,5478.2,6547.8,0,0,0,0,0,0
"956",890,49.7,"MF",0.241,0.658,0.806,0.837,0.843,0.871,5527.12,8636.32,6773.04,7798.68,6537.4,8072.8,5473.04,8474.419,6664.88,7681.047,6537.4,8072.8,5720.412,8834.76,7024.624,8060.353,6537.4,8072.8,0,0,0,0,0,0
"957",890,49.7,"FP",0,0,0.606,0.627,0.706,0.743,4746.5,8006.1,5051.6,5327,7937.8,10213.4,4564.04,7785.3,4821.68,5210.24,7937.8,10213.4,4798.48,8085.3,5155.56,5589.88,7937.8,10213.4,0,0,0,0,0,0
"958",890,124.7,"KK",0.526,0.798,0.912,0.918,0.916,0.912,4889.24,7031.24,6161.88,6928.72,5478.2,6547.8,4701.8115,6985.48,5922.023,6685.0795,5478.2,6547.8,4937.74,7074.92,6258.88,7029.22,5478.2,6547.8,0,0,0,0,0,0
"959",890,124.7,"MF",0.6,0.832,0.829,0.838,0.849,0.865,6039.44,9373.96,7527.68,8730.26,6672.4,8207.8,5990.508,9192.6,7429.816,8623.927,6672.4,8207.8,6084.16,9415.44,7617.12,8962.44,6672.4,8207.8,0,0,0,0,0,0
"960",890,124.7,"FP",0,0,0.685,0.691,0.787,0.81,5139.14,8902.8,5701.88,6365.84,7937.8,10213.4,5075.8035,8797.2,5575.207,6075.021,7937.8,10213.4,5335.16,9133.5825,5958.92,6650.96,7937.8,10213.4,0,0,0,0,0,0
"961",900,2.8,"KK",0,0,0.557,0.589,0.674,0.726,2996.72,4485.24,3167.44,3314.76,5382,6453,2965.6315,4306.56,3105.263,3250.3395,5382,6453,3033.58,4535.16,3241.16,3391.14,5382,6453,0,0,0,0,0,0
"962",900,2.8,"MF",0,0,0.645,0.667,0.734,0.763,3831.04,6220.04,4170.08,4498.76,6444,7983,3783.2,6021.539,4074.4,4259.8,6444,7983,3876.8,6278.6,4261.6,4598.2,6444,7983,0,0,0,0,0,0
"963",900,2.8,"FP",0,0,0.045,0.014,0.53,0.572,4218.86,6549.3,4113.24,4125.72,7983,10269,4205.3,6522.9,4081.6,4086.8,7983,10269,4234.68,6579,4266.32,4282.96,7983,10269,0,0,0.745,0.745,0,0
