scenario,method,pre,post
1,kk,31288.54840101815,24320.968085522298
1,miniflotac,43190.219875031406,33572.281645163835
1,fecpak,13826.15382868493,7171.111546984588
2,kk,43970.803704144884,24865.203302152127
2,miniflotac,60696.60553514387,34323.53537444245
2,fecpak,33981.058769386276,7608.395347457239
